instrument,style,timeframe,start_date,end_date,n_trades,win_rate,net_pnl,profit_factor,run_at
PLTR,intraday,1h,2024-07-06,2026-07-06,137,36.5,5185.17,1.136,2026-07-06T18:17:26Z
PLTR,swing,1d,2024-07-06,2026-07-06,32,56.2,2122.77,1.357,2026-07-06T18:17:36Z
PLTR,position,1d,2024-07-06,2026-07-06,12,58.3,2490.2,1.964,2026-07-06T18:17:46Z
TSM,scalp,15m,2024-07-06,2026-07-06,49,32.7,-6335.09,0.43,2026-07-06T18:17:47Z
TSM,intraday,1h,2024-07-06,2026-07-06,144,36.8,6131.26,1.174,2026-07-06T18:17:52Z
TSM,swing,1d,2024-07-06,2026-07-06,35,54.3,5955.41,2.508,2026-07-06T18:18:02Z
TSM,position,1d,2024-07-06,2026-07-06,12,66.7,7517.77,5.942,2026-07-06T18:18:15Z
NFLX,scalp,15m,2024-07-06,2026-07-06,43,37.2,-1792.67,0.786,2026-07-06T18:18:16Z
NFLX,intraday,1h,2024-07-06,2026-07-06,125,45.6,9658.56,1.34,2026-07-06T18:18:21Z
NFLX,swing,1d,2024-07-06,2026-07-06,29,55.2,4237.47,1.928,2026-07-06T18:18:32Z
NFLX,position,1d,2024-07-06,2026-07-06,10,40.0,-142.55,0.957,2026-07-06T18:18:42Z
UBER,scalp,15m,2024-07-06,2026-07-06,43,37.2,-1743.62,0.72,2026-07-06T18:18:43Z
UBER,intraday,1h,2024-07-06,2026-07-06,120,29.2,-9079.25,0.695,2026-07-06T18:18:48Z
UBER,swing,1d,2024-07-06,2026-07-06,31,51.6,664.74,1.165,2026-07-06T18:18:57Z
UBER,position,1d,2024-07-06,2026-07-06,8,62.5,-388.51,0.77,2026-07-06T18:19:07Z
SPY,scalp,15m,2024-07-06,2026-07-06,37,51.4,1121.23,1.305,2026-07-06T18:19:09Z
SPY,intraday,1h,2024-07-06,2026-07-06,122,32.8,-140.71,0.993,2026-07-06T18:19:14Z
SPY,swing,1d,2024-07-06,2026-07-06,27,51.9,2458.04,1.564,2026-07-06T18:19:23Z
SPY,position,1d,2024-07-06,2026-07-06,9,66.7,2358.31,2.625,2026-07-06T18:19:33Z
QQQ,scalp,15m,2024-07-06,2026-07-06,42,50.0,192.49,1.035,2026-07-06T18:19:35Z
QQQ,intraday,1h,2024-07-06,2026-07-06,132,31.1,3203.49,1.12,2026-07-06T18:19:40Z
QQQ,swing,1d,2024-07-06,2026-07-06,30,53.3,2149.67,1.431,2026-07-06T18:19:49Z
QQQ,position,1d,2024-07-06,2026-07-06,12,50.0,3305.09,1.906,2026-07-06T18:19:59Z
IWM,scalp,15m,2024-07-06,2026-07-06,46,23.9,-3159.07,0.603,2026-07-06T18:20:00Z
IWM,intraday,1h,2024-07-06,2026-07-06,132,30.3,-7296.2,0.728,2026-07-06T18:20:05Z
IWM,swing,1d,2024-07-06,2026-07-06,27,66.7,3173.47,2.541,2026-07-06T18:20:21Z
IWM,position,1d,2024-07-06,2026-07-06,10,50.0,786.41,1.332,2026-07-06T18:20:31Z
GLD,scalp,15m,2024-07-06,2026-07-06,44,45.5,1951.57,1.354,2026-07-06T18:20:32Z
GLD,intraday,1h,2024-07-06,2026-07-06,156,38.5,3612.93,1.112,2026-07-06T18:20:37Z
GLD,swing,1d,2024-07-06,2026-07-06,32,56.2,7397.54,2.368,2026-07-06T18:20:47Z
GLD,position,1d,2024-07-06,2026-07-06,13,61.5,7470.66,6.158,2026-07-06T18:20:56Z
TLT,scalp,15m,2024-07-06,2026-07-06,42,40.5,-2145.53,0.625,2026-07-06T18:20:58Z
TLT,intraday,1h,2024-07-06,2026-07-06,124,31.5,-4899.5,0.752,2026-07-06T18:21:02Z
